Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Salmonella enterica subsp. enterica serovar Typhi str. Ty2","Bacteria;Proteobacteria;Gammaproteobacteria","Ty2","SAMN02604095","PRJNA371","GCA_000007545.1","Complete",4.79196,52.1,"chromosome:NC_004631.1/AE014613.1",,1,4604,"2003-03-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/545/GCA_000007545.1_ASM754v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/545/GCF_000007545.1_ASM754v1"
"Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67","Bacteria;Proteobacteria;Gammaproteobacteria","SC-B67","SAMN02603109","PRJNA9618","GCA_000008105.1","Complete",4.944,52.1737,"chromosome:NC_006905.1/AE017220.1; plasmid pSC138:NC_006856.1/AY509004.1; plasmid pSCV50:NC_006855.1/AY509003.1",,3,4667,"2005-04-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/105/GCA_000008105.1_ASM810v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/105/GCF_000008105.1_ASM810v1"
"Salmonella enterica subsp. enterica serovar Enteritidis str. P125109","Bacteria;Proteobacteria;Gammaproteobacteria","P125109","SAMEA1705941","PRJEA30687","GCA_000009505.1","Complete",4.68585,52.2,"chromosome:NC_011294.1/AM933172.1",,1,4502,"2008-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/505/GCA_000009505.1_ASM950v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/505/GCF_000009505.1_ASM950v1"
"Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91","Bacteria;Proteobacteria;Gammaproteobacteria","287/91","SAMEA1705927","PRJEA30689","GCA_000009525.1","Complete",4.6587,52.2,"chromosome:NC_011274.1/AM933173.1",,1,4271,"2008-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/525/GCA_000009525.1_ASM952v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/525/GCF_000009525.1_ASM952v1"
"Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 9150","SAMN02604316","PRJNA13086","GCA_000011885.1","Complete",4.58523,52.2,"chromosome:NC_006511.1/CP000026.1",,1,4319,"2004-11-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/885/GCA_000011885.1_ASM1188v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/885/GCF_000011885.1_ASM1188v1"
"Salmonella enterica subsp. enterica serovar Newport str. SL254","Bacteria;Proteobacteria;Gammaproteobacteria","SL254","SAMN02604062","PRJNA18747","GCA_000016045.1","Complete",5.00772,52.2145,"chromosome:NC_011080.1/CP001113.1; plasmid pSL254_3:NC_011079.1/CP001112.1; plasmid pSN254:NC_009140.1/CP000604.1",,3,4898,"2008-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/045/GCA_000016045.1_ASM1604v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/045/GCF_000016045.1_ASM1604v1"
"Salmonella enterica subsp. enterica serovar Paratyphi C str. RKS4594","Bacteria;Proteobacteria;Gammaproteobacteria","RKS4594","SAMN02603245","PRJNA20993","GCA_000018385.1","Complete",4.88849,52.2068,"chromosome:NC_012125.1/CP000857.1; plasmid pSPCV:NC_012124.1/CP000858.1",,2,4598,"2009-03-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/385/GCA_000018385.1_ASM1838v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/385/GCF_000018385.1_ASM1838v1"
"Salmonella enterica subsp. arizonae serovar 62:z4,z23:-","Bacteria;Proteobacteria;Gammaproteobacteria","RSK2980","SAMN02604141","PRJNA13030","GCA_000018625.1","Complete",4.6008,51.4,"chromosome:NC_010067.1/CP000880.1",,1,4136,"2007-11-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/625/GCA_000018625.1_ASM1862v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/625/GCF_000018625.1_ASM1862v1"
"Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7","Bacteria;Proteobacteria;Gammaproteobacteria","SGSC4150; SPB7","SAMN02603951","PRJNA27803","GCA_000018705.1","Complete",4.85889,52.1,"chromosome:NC_010102.1/CP000886.1",,1,4694,"2007-11-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/705/GCA_000018705.1_ASM1870v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/705/GCF_000018705.1_ASM1870v1"
"Salmonella enterica subsp. enterica serovar Heidelberg str. SL476","Bacteria;Proteobacteria;Gammaproteobacteria","SL476","SAMN02604067","PRJNA20045","GCA_000020705.1","Complete",4.98351,52.069,"chromosome:NC_011083.1/CP001120.1; plasmid pSL476_3:NC_011082.1/CP001119.1; plasmid pSL476_91:NC_011081.1/CP001118.1",,3,4848,"2008-07-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/705/GCA_000020705.1_ASM2070v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/705/GCF_000020705.1_ASM2070v1"
