sample;type;domain_name;domain_accession;domain_len;query_name;query_accession;qlen;sequence_evalue;sequence_score;sequence_bias;domain_N;domain_of;domain_cevalue;domain_ievalue;domain_score;domain_bias;hmm_from;hmm_to;ali_from;ali_to;env_from;env_to;acc;description
GCF_000007545.1_ASM754v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000008105.1_ASM810v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000009505.1_ASM950v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000009525.1_ASM952v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.7e-38;128.4;8.9;1;1;1.6e-41;6.6e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000011885.1_ASM1188v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.7e-38;128.4;8.9;1;1;1.6e-41;6.7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000016045.1_ASM1604v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.5e-38;128.4;8.9;1;1;1.6e-41;7.6e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000018385.1_ASM1838v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.1e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000018625.1_ASM1862v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.5e-38;128.4;8.9;1;1;1.6e-41;6.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000018625.1_ASM1862v1_protein;colicin;WP_000371003.1;-;1196;UniRef50_P09883;-;582;4.4e-16;56.6;0;1;2;0.015;63;-0.1;0;273;293;1036;1056;1028;1058;0.87;type VI secretion system tip protein VgrG [Salmonella enterica]
GCF_000018625.1_ASM1862v1_protein;colicin;WP_000371003.1;-;1196;UniRef50_P09883;-;582;4.4e-16;56.6;0;2;2;6.5e-19;2.7e-15;54;0;454;580;1057;1189;1053;1191;0.8;type VI secretion system tip protein VgrG [Salmonella enterica]
GCF_000018705.1_ASM1870v1_protein;colicin;WP_000262098.1;-;162;Colicin;-;181;1.2e-37;127.5;8.8;1;1;2.9e-41;1.4e-37;127.2;8.8;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;Colicin-E1;-;521;1.5e-39;134.4;10.1;1;2;1;4800;-6.7;11.8;118;233;161;272;154;289;0.49;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;Colicin-E1;-;521;1.5e-39;134.4;10.1;2;2;3e-43;1.5e-39;134.4;10.1;286;521;383;626;340;626;0.84;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P05819;-;511;2e-15;54.5;7.3;1;2;0.17;800;-3.5;0.6;387;438;73;122;66;126;0.53;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P05819;-;511;2e-15;54.5;7.3;2;2;4.2e-19;2e-15;54.5;7.3;311;507;442;622;392;625;0.77;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P06716;-;626;0;1359.5;25;1;1;0;0;1359.3;25;1;626;1;626;1;626;1;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001132032.1;-;448;UniRef50_P06716;-;626;1.8e-06;24.5;0;1;1;1e-09;2.4e-06;24.1;0;12;62;393;447;385;448;0.86;MULTISPECIES: hypothetical protein [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;UniRef50_P08083;-;387;6.7e-10;36.5;5.2;1;1;2.1e-13;1e-09;35.9;5.2;186;358;438;609;386;625;0.83;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q47502;-;490;3.6e-42;143.1;11.2;1;2;1;4800;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q47502;-;490;3.6e-42;143.1;11.2;2;2;7.5e-46;3.6e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.6e-42;143.1;11.2;1;2;1;4800;-12.7;19.5;197;283;177;267;57;284;0.44;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020705.1_ASM2070v1_protein;colicin;WP_001283341.1;-;626;UniRef50_Q9KJ98;-;490;3.6e-42;143.1;11.2;2;2;7.5e-46;3.6e-42;143.1;11.2;266;490;401;626;375;626;0.94;MULTISPECIES: colicin 1B [Enterobacteriaceae]
GCF_000020745.1_ASM2074v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000020885.1_ASM2088v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.1e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000020925.1_ASM2092v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000022165.1_ASM2216v1_protein;colicin;WP_000262100.1;-;162;Colicin;-;181;7e-38;128.2;8.3;1;1;1.7e-41;8.2e-38;128;8.3;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000026565.1_ASM2656v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.7e-38;128.4;8.9;1;1;1.6e-41;6.7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000027025.1_ASM2702v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.3e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.4e-38;128.4;8.9;1;1;1.6e-41;7.5e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;Colicin-E1;-;521;1.6e-39;134.3;10.3;1;2;2;4800;-6.7;11.8;118;233;161;272;154;289;0.49;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;Colicin-E1;-;521;1.6e-39;134.3;10.3;2;2;6.7e-43;1.6e-39;134.3;10.3;286;521;383;626;340;626;0.84;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;Colicin-E1;-;521;9.6e-39;131.7;7;1;2;2;4800;-13.7;21.7;115;241;158;280;93;291;0.47;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;Colicin-E1;-;521;9.6e-39;131.7;7;2;2;4e-42;9.6e-39;131.7;7;287;521;384;626;340;626;0.82;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;UniRef50_P05819;-;511;8e-15;52.5;7.3;1;2;0.33;800;-3.5;0.6;387;438;73;122;66;126;0.53;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;UniRef50_P05819;-;511;8e-15;52.5;7.3;2;2;3.3e-18;8e-15;52.5;7.3;311;507;442;622;392;625;0.77;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_P05819;-;511;1.3e-12;45.3;5.3;1;1;1e-15;2.5e-12;44.3;5.3;309;495;440;610;392;623;0.75;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_P06716;-;626;0;1398.1;25.1;1;1;0;0;1397.9;25.1;1;626;1;626;1;626;1;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;UniRef50_P06716;-;626;0;1358.2;25;1;1;0;0;1358;25;1;626;1;626;1;626;1;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_P08083;-;387;1.5e-10;38.7;4.5;1;1;9.9e-14;2.4e-10;38;4.5;186;361;439;607;419;623;0.75;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;UniRef50_P08083;-;387;4.2e-09;33.9;5.2;1;1;2.7e-12;6.4e-09;33.3;5.2;186;358;438;609;386;625;0.83;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;UniRef50_Q47502;-;490;4.7e-42;142.8;11.6;1;2;2;4800;-12.7;19.5;197;283;177;267;57;284;0.44;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;UniRef50_Q47502;-;490;4.7e-42;142.8;11.6;2;2;1.9e-45;4.7e-42;142.8;11.6;266;490;401;626;375;626;0.94;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_Q47502;-;490;1.4e-36;124.7;8;1;3;2;4800;-13.8;22.7;148;284;108;268;57;286;0.44;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_Q47502;-;490;1.4e-36;124.7;8;2;3;0.0018;4.4;4.3;2.2;94;154;371;442;342;448;0.57;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_Q47502;-;490;1.4e-36;124.7;8;3;3;6e-40;1.4e-36;124.7;8;265;490;400;626;394;626;0.93;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;UniRef50_Q9KJ98;-;490;4.7e-42;142.8;11.6;1;2;2;4800;-12.7;19.5;197;283;177;267;57;284;0.44;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283340.1;-;626;UniRef50_Q9KJ98;-;490;4.7e-42;142.8;11.6;2;2;1.9e-45;4.7e-42;142.8;11.6;266;490;401;626;375;626;0.94;hypothetical protein [Salmonella enterica]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_Q9KJ98;-;490;1.4e-36;124.7;8;1;3;2;4800;-13.8;22.7;148;284;108;268;57;286;0.44;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_Q9KJ98;-;490;1.4e-36;124.7;8;2;3;0.0018;4.4;4.3;2.2;94;154;371;442;342;448;0.57;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170195.2_ASM17019v2_protein;colicin;WP_001283335.1;-;626;UniRef50_Q9KJ98;-;490;1.4e-36;124.7;8;3;3;6e-40;1.4e-36;124.7;8;265;490;400;626;394;626;0.93;MULTISPECIES: colicin [Enterobacteriaceae]
GCF_000170215.1_ASM17021v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000170235.1_ASM17023v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.2e-38;128.4;8.9;1;1;1.6e-41;7.2e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000170255.1_ASM17025v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.3e-38;128.4;8.9;1;1;1.6e-41;7.4e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000171255.1_ASM17125v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.7e-38;128.4;8.9;1;1;1.6e-41;6.7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000171275.1_ASM17127v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;5.9e-38;128.4;8.9;1;1;1.6e-41;7e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000171295.1_ASM17129v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.1e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
GCF_000171315.1_ASM17131v1_protein;colicin;WP_000262102.1;-;162;Colicin;-;181;6.1e-38;128.4;8.9;1;1;1.6e-41;7.1e-38;128.1;8.9;4;154;2;152;1;157;0.96;colicin V production protein [Salmonella enterica]
